Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
7600	-1606.5553518955	2	1	0
7700	-1623.17271402641	4	5	0
7800	-1611.03625644481	4	2	0
7900	-1617.89655309477	3	4	0
8000	-1633.23586489718	2	8	0
8100	-1624.61681793962	3	5	0
8200	-1614.67773438154	3	3	0
8300	-1615.48944852441	3	3	0
8400	-1608.11179908957	3	1	0
8500	-1614.95452909502	4	2	0
8600	-1625.81346321356	4	5	0
8700	-1615.8339868058	3	1	0
8800	-1607.24250418496	1	2	0
8900	-1607.6151949359	5	1	0
9000	-1611.90956718092	5	4	0
9100	-1611.06088384267	6	2	0
9200	-1626.37126444407	8	4	0
9300	-1611.77474665099	4	4	0
9400	-1611.15705556556	6	2	0
9500	-1619.19821025456	5	4	0
9600	-1611.66647174039	6	3	0
9700	-1607.90308248979	5	3	0
9800	-1616.3787886573	6	2	0
9900	-1602.80024050684	5	2	0
10000	-1598.94350867855	4	1	0
10100	-1604.08267811877	4	2	0
10200	-1612.3680701026	6	1	0
10300	-1602.23661530346	3	2	0
10400	-1611.43146467589	5	2	0
10500	-1606.57407970808	3	3	0
10600	-1602.21143052064	4	2	0
10700	-1613.40740966506	5	3	0
10800	-1629.41118737774	10	3	0
10900	-1606.58760710466	5	2	0
11000	-1602.80019386445	3	3	0
11100	-1607.1507407942	3	3	0
11200	-1606.84741273379	4	2	0
11300	-1609.78591293277	5	2	0
11400	-1609.32298411377	5	2	0
11500	-1600.7147427441	3	1	0
11600	-1602.87918434756	3	3	0
11700	-1601.36263794582	4	2	0
11800	-1606.40521371725	4	2	0
11900	-1606.21881506986	5	2	0
12000	-1603.34333030618	4	2	0
12100	-1617.76463932797	7	3	0
12200	-1615.66145626797	5	4	0
12300	-1614.11859677932	7	2	0
12400	-1600.23126550964	4	1	0
12500	-1612.37638801593	4	4	0
12600	-1607.95646980006	4	2	0
12700	-1603.48736281192	4	2	0
12800	-1618.66838476382	6	4	0
12900	-1606.57846855976	4	3	0
13000	-1617.97153900494	8	1	0
13100	-1617.92447316699	6	3	0
13200	-1602.90992622283	4	2	0
13300	-1604.20784181357	4	2	0
13400	-1601.58830884986	4	2	0
13500	-1613.01923914621	5	4	0
13600	-1610.18519815854	6	1	0
13700	-1626.52624569011	4	7	0
13800	-1614.98924682534	4	4	0
13900	-1621.64362732291	6	5	0
14000	-1615.2291423088	5	4	0
14100	-1603.37140967362	4	2	0
14200	-1602.53571124457	4	1	0
14300	-1600.92432350565	4	2	0
14400	-1616.50365335151	5	4	0
14500	-1617.3762155191	7	3	0
14600	-1612.01668239199	6	2	0
14700	-1614.19129212868	6	3	0
14800	-1616.41278360528	6	3	0
14900	-1614.30696108267	5	3	0
15000	-1607.7401137354	6	1	0
15100	-1601.02966834093	4	1	0
15200	-1600.80377546855	4	1	0
15300	-1604.70894174052	4	2	0
15400	-1612.42880435201	6	3	0
15500	-1612.22026303418	6	3	0
15600	-1606.22708962025	4	2	0
15700	-1632.52797046946	8	5	0
15800	-1608.4030720351	4	3	0
15900	-1600.30839457778	4	1	0
16000	-1606.45772549619	5	2	0
16100	-1610.01007729483	5	2	0
16200	-1615.40994793371	7	2	0
16300	-1608.29960116078	5	1	0
16400	-1599.48832692098	3	2	0
16500	-1606.04749444251	3	4	0
16600	-1604.82461490312	3	3	0
16700	-1609.42487413103	5	3	0
16800	-1616.18446584817	7	2	0
16900	-1608.2337930377	5	2	0
17000	-1599.58796892201	4	1	0
17100	-1617.83932315011	6	3	0
17200	-1613.90557791822	6	3	0
17300	-1613.91507996035	6	3	0
17400	-1609.4746237819	5	2	0
17500	-1615.74022518398	4	5	0
17600	-1607.45835284314	5	2	0
17700	-1614.23182818221	6	3	0
17800	-1602.15677763739	4	1	0
17900	-1601.00203355259	4	2	0
18000	-1612.41072820005	5	3	0
18100	-1612.92782994747	5	3	0
18200	-1603.72054355437	4	1	0
18300	-1599.09394054267	3	1	0
18400	-1610.77391374335	4	4	0
18500	-1609.72343719603	5	2	0
18600	-1613.39385498973	5	2	0
18700	-1602.23141139301	4	1	0
18800	-1610.81627657984	5	2	0
18900	-1605.41355298663	5	1	0
19000	-1613.96058137873	6	3	0
19100	-1607.80808482169	5	1	0
19200	-1605.10214068888	5	1	0
19300	-1609.58099760218	4	4	0
19400	-1614.29545394891	6	2	0
19500	-1603.96893102716	4	1	0
19600	-1606.3924348435	5	2	0
19700	-1603.22665704184	5	1	0
19800	-1610.251735716	5	2	0
19900	-1617.58192730482	5	3	0
20000	-1613.20669753989	5	3	0
20100	-1607.40092137325	4	2	0
20200	-1610.0908777096	4	3	0
20300	-1603.27601217657	4	2	0
20400	-1598.95766316131	4	1	0
20500	-1601.10143154374	4	1	0
20600	-1609.04863600845	5	2	0
20700	-1602.89502982437	3	3	0
20800	-1602.50424152307	4	2	0
20900	-1607.34931145363	6	1	0
21000	-1614.96666909925	6	3	0
21100	-1600.49251646559	4	2	0
21200	-1605.87081254679	4	2	0
21300	-1604.79452713968	4	3	0
21400	-1605.87333017146	4	2	0
21500	-1604.62657553906	4	2	0
21600	-1623.733052248	8	3	0
21700	-1625.25846741166	5	5	0
21800	-1604.47260994743	4	2	0
21900	-1612.88703380437	6	2	0
22000	-1610.20831602884	5	3	0
22100	-1613.48825856754	4	4	0
22200	-1604.96418292354	4	1	0
22300	-1607.88084930581	3	4	0
22400	-1612.5548967911	4	3	0
22500	-1606.89216901456	4	2	0
22600	-1606.00571930857	4	2	0
22700	-1606.15946927291	5	1	0
22800	-1618.43754469103	6	2	0
22900	-1610.70666282809	4	3	0
23000	-1612.57211576879	3	5	0
23100	-1619.09870302614	4	5	0
23200	-1619.98916164859	5	5	0
23300	-1613.90566571087	5	4	0
23400	-1605.47473844852	5	1	0
23500	-1607.85286421138	5	2	0
23600	-1613.08284939256	6	2	0
23700	-1611.96129662311	4	4	0
23800	-1609.7793119416	5	3	0
23900	-1607.33901657136	5	2	0
24000	-1614.1724349851	5	2	0
24100	-1606.93525742522	3	4	0
24200	-1600.78912287551	3	2	0
24300	-1608.2683524991	5	2	0
24400	-1607.80139712431	5	2	0
24500	-1615.91078033965	5	4	0
24600	-1603.57726473521	4	2	0
24700	-1601.55578858981	3	2	0
24800	-1609.01626890464	6	2	0
24900	-1610.14453932865	3	4	0
25000	-1611.95942399165	4	4	0
25100	-1608.20275382508	4	3	0
25200	-1621.39530413233	6	4	0
25300	-1609.38599903463	6	2	0
25400	-1614.60689929474	5	4	0
25500	-1612.36461375555	5	3	0
25600	-1622.19408987758	8	3	0
25700	-1616.30932458084	7	1	0
25800	-1619.55696845432	7	3	0
25900	-1636.46483082645	10	4	0
26000	-1605.82163383808	4	3	0
26100	-1605.54492732674	4	2	0
26200	-1609.28965291043	5	2	0
26300	-1610.02782788773	5	3	0
26400	-1605.76844312034	4	4	0
26500	-1606.76375257471	5	2	0
26600	-1601.33725590821	4	1	0
26700	-1606.60380924542	5	2	0
26800	-1605.30981652104	4	2	0
26900	-1614.20423300296	4	5	0
27000	-1611.31028977612	5	2	0
27100	-1616.58563029321	5	3	0
27200	-1614.54195368748	7	2	0
27300	-1610.42698150357	4	4	0
27400	-1604.86261439726	4	1	0
27500	-1602.42055388723	4	2	0
27600	-1602.04255892764	5	1	0
27700	-1609.72309316798	6	2	0
27800	-1610.76498472855	5	3	0
27900	-1596.91650104971	3	2	0
28000	-1608.86352926295	5	2	0
28100	-1615.92988311785	7	1	0
28200	-1608.98345349966	5	3	0
28300	-1608.33610661364	4	4	0
28400	-1608.89984565164	3	4	0
28500	-1600.76858651349	3	3	0
28600	-1603.50574317909	5	1	0
28700	-1607.67191319152	4	3	0
28800	-1617.8169497902	4	6	0
28900	-1605.19782848056	3	3	0
29000	-1631.11163378116	9	4	0
29100	-1607.72586361666	4	3	0
29200	-1612.59047353111	5	3	0
29300	-1605.67970293661	4	3	0
29400	-1611.30861652842	4	4	0
29500	-1612.02470023864	6	1	0
29600	-1600.20774640926	4	1	0
29700	-1600.58978560243	3	2	0
29800	-1599.8787338369	4	2	0
29900	-1611.91255352712	7	1	0
30000	-1600.84994020506	4	1	0
30100	-1603.61196987754	4	2	0
30200	-1610.48349393856	5	2	0
30300	-1608.76780789004	4	4	0
30400	-1618.85366013058	6	4	0
30500	-1607.85545549348	5	2	0
30600	-1625.87277614186	6	5	0
30700	-1622.51693369921	5	4	0
30800	-1610.77575353673	3	5	0
30900	-1612.10487427285	5	4	0
31000	-1616.88198969213	5	4	0
31100	-1602.42908013719	3	3	0
31200	-1613.05321568914	7	2	0
31300	-1623.61433929784	7	3	0
31400	-1618.60749132349	7	3	0
31500	-1646.0002843215	9	6	0
31600	-1619.09154504557	7	2	0
31700	-1607.80804223125	4	3	0
31800	-1606.36060873947	3	4	0
31900	-1613.42706116028	3	5	0
32000	-1620.35139387676	7	3	0
32100	-1624.3806305075	5	7	0
32200	-1612.73242851323	6	1	0
32300	-1617.95750990518	7	3	0
32400	-1635.8941402982	8	6	0
32500	-1603.38156064529	3	3	0
32600	-1602.08812686609	3	2	0
32700	-1621.77690746877	7	2	0
32800	-1612.95547373573	5	4	0
32900	-1604.40563608006	3	3	0
33000	-1607.61628038423	2	3	0
33100	-1608.18933322352	4	2	0
33200	-1606.92565124433	2	3	0
33300	-1602.74969698513	3	2	0
33400	-1608.85372021289	3	3	0
33500	-1609.59073813296	3	3	0
33600	-1612.49929826009	3	4	0
33700	-1608.81326914985	3	3	0
33800	-1616.33651651272	3	4	0
33900	-1619.87907392049	5	4	0
34000	-1620.83714459026	5	5	0
34100	-1606.87027631917	4	3	0
34200	-1630.50537863362	9	2	0
34300	-1622.88312649321	7	2	0
34400	-1611.37090986888	5	3	0
34500	-1608.3889077976	5	1	0
34600	-1602.68918333611	4	1	0
34700	-1615.85839012376	6	3	0
34800	-1606.14742148332	5	1	0
34900	-1607.5960404946	5	2	0
35000	-1607.72581142292	5	2	0
35100	-1619.93270674726	6	4	0
35200	-1619.61819428923	4	5	0
35300	-1605.33496625954	4	2	0
35400	-1612.00400248538	4	3	0
35500	-1601.80315814922	4	1	0
35600	-1615.49493961007	5	3	0
35700	-1607.18530463042	4	2	0
35800	-1607.43618501196	2	4	0
35900	-1611.68897751309	2	4	0
36000	-1603.85028793878	3	2	0
36100	-1608.09999150682	2	4	0
36200	-1617.94559407543	2	5	0
36300	-1607.57140823804	2	3	0
36400	-1604.57271315952	2	3	0
36500	-1604.56737798704	4	2	0
36600	-1613.68253233466	4	4	0
36700	-1613.28564067586	6	1	0
36800	-1632.33383449294	5	8	0
36900	-1612.10746613657	6	2	0
37000	-1619.63877605221	8	2	0
37100	-1612.12634485657	4	2	0
37200	-1608.44184620269	4	1	0
37300	-1610.94897293553	5	3	0
37400	-1605.5582572328	5	1	0
37500	-1609.90979512485	3	3	0
37600	-1601.27036136126	3	2	0
37700	-1598.67326949035	3	2	0
37800	-1601.93924954319	4	2	0
37900	-1599.34999733195	4	1	0
38000	-1601.36816492922	4	1	0
38100	-1613.35467102346	5	4	0
38200	-1608.95594063081	5	2	0
38300	-1608.62269391386	5	1	0
38400	-1599.01253669096	3	2	0
38500	-1600.7372573259	3	2	0
38600	-1626.12832109086	7	5	0
38700	-1613.25970660838	5	3	0
38800	-1603.98645290171	5	1	0
38900	-1613.35942048698	4	5	0
39000	-1601.88188422061	3	2	0
39100	-1611.68254554846	4	3	0
39200	-1599.49686682707	3	2	0
39300	-1604.53882263113	2	2	0
39400	-1622.56559690993	6	3	0
39500	-1610.90031135161	2	2	0
39600	-1612.91872041206	2	3	0
39700	-1611.02110188327	2	3	0
39800	-1628.40138186876	5	5	0
39900	-1612.80344520254	5	2	0
40000	-1608.29826010821	4	1	0
40100	-1609.9903906677	3	1	0
